title,topic,difficulty,description,constraints,example1_input,example1_output,example2_input,example2_output,test1_input,test1_output,test2_input,test2_output,test3_input,test3_output,test4_input,test4_output,test5_input,test5_output,input_type
"Find Maximum Element","Array","Easy","Given an array of integers, find and return the maximum element.","1 ≤ arr.length ≤ 10⁴, -10⁹ ≤ arr[i] ≤ 10⁹","arr = [3,1,4,1,5,9]","9","arr = [-1,-5,-3]","-1","3 1 4 1 5 9","9","-1 -5 -3","-1","42","42","1 2 3 4 5","5","100 -100 50","100",arr
"Sum of Array","Array","Easy","Given an array of integers, return the sum of all elements.","1 ≤ arr.length ≤ 10⁴","arr = [1,2,3,4,5]","15","arr = [10,-5,3]","8","1 2 3 4 5","15","10 -5 3","8","0 0 0","0","100","100","1 -1 1 -1","0",arr
"Count Even Numbers","Array","Easy","Given an array of integers, count how many even numbers are present.","1 ≤ arr.length ≤ 10⁴","arr = [1,2,3,4,5,6]","3","arr = [1,3,5]","0","1 2 3 4 5 6","3","1 3 5","0","2 4 6 8","4","0","1","7","0",arr
"Check Palindrome String","String","Easy","Given a string, check if it is a palindrome. Return true or false.","1 ≤ s.length ≤ 10⁵","s = racecar","true","s = hello","false","racecar","true","hello","false","a","true","ab","false","abba","true",str
"Reverse String","String","Easy","Given a string, return the reversed version of it.","1 ≤ s.length ≤ 10⁵","s = hello","olleh","s = world","dlrow","hello","olleh","world","dlrow","a","a","ab","ba","abcdef","fedcba",str
"Two Sum","Array","Medium","Given an array of integers and a target, return indices of the two numbers that add up to the target. Return as i,j format.","2 ≤ nums.length ≤ 10⁴","nums = [2,7,11,15]\ntarget = 9","0,1","nums = [3,2,4]\ntarget = 6","1,2","2 7 11 15\n9","0,1","3 2 4\n6","1,2","1 5 3 7\n8","0,3","4 4\n8","0,1","1 2 3 4 5\n9","3,4",arr
"Valid Parentheses","Stack","Medium","Given a string containing just the characters ( ) { } [ ], determine if the input string is valid. Return true or false.","1 ≤ s.length ≤ 10⁴","s = ()[]{}","true","s = (]","false","()[]{}","true","(]","false","([)]","false","()","true","{[]}","true",str
"Find Second Largest","Array","Medium","Given an array of integers, find and return the second largest element. If no second largest exists return -1.","2 ≤ arr.length ≤ 10⁴","arr = [3,1,4,1,5,9]","5","arr = [5,5,5]","-1","3 1 4 1 5 9","5","5 5 5","-1","1 2","1","10 20 30","20","7 7 8","7",arr
"Fibonacci Number","Array","Medium","Given n, return the nth Fibonacci number (0-indexed). F(0)=0, F(1)=1, F(n)=F(n-1)+F(n-2).","0 ≤ n ≤ 30","n = 6","8","n = 10","55","6","8","10","55","0","0","1","1","15","610",num
"Longest Substring Without Repeating","String","Hard","Given a string, find the length of the longest substring without repeating characters.","0 ≤ s.length ≤ 5×10⁴","s = abcabcbb","3","s = bbbbb","1","abcabcbb","3","bbbbb","1","pwwkew","3","","0","abcdef","6",str
